chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:26:36Z,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,done,2026-05-05 14:21:36,2026-05-05 14:26:47,311,5,47218,84536,14759,146518,0.7069645,,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,2026-05-05T19:26:47Z,,,,,,,,,2026-05-05T19:26:47Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:27:17Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:27:47Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:28:17Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:28:47Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:29:17Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:29:47Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:30:17Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:30:47Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:31:17Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:31:47Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:32:17Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:32:47Z,Matthews-Mac-Studio.local-90475,
adwd-the-sacrifice-01,adwd,11,done,2026-05-05 14:26:47,2026-05-05 14:33:02,375,5,50468,86205,16209,152887,0.7643325000000001,,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,2026-05-05T19:33:02Z,,,,,,,,,2026-05-05T19:33:02Z,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:33:32Z,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:34:02Z,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:34:32Z,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:35:02Z,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:35:32Z,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:36:02Z,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:36:32Z,Matthews-Mac-Studio.local-90475,
adwd-the-spurned-suitor-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:37:02Z,Matthews-Mac-Studio.local-90475,
