chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
acok-jon-07,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:25:51Z,Mac.attlocal.net-27112,
acok-catelyn-06,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:26:00Z,Mac.attlocal.net-27104,
acok-jon-07,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:26:21Z,Mac.attlocal.net-27112,
acok-catelyn-06,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:26:30Z,Mac.attlocal.net-27104,
acok-jon-07,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:26:51Z,Mac.attlocal.net-27112,
acok-catelyn-06,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:27:00Z,Mac.attlocal.net-27104,
acok-catelyn-06,acok,5,done,2026-05-04 22:23:00,2026-05-04 22:27:05,245,6,42515,123001,10480,176002,0.58984725,,Mac.attlocal.net-27104,
acok-catelyn-07,acok,5,failed-stale,2026-05-05T03:27:05Z,,,,,,,,,2026-05-05T03:27:05Z,Mac.attlocal.net-27104,
acok-jon-07,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:27:21Z,Mac.attlocal.net-27112,
acok-catelyn-07,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:27:35Z,Mac.attlocal.net-27104,
acok-jon-07,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:27:51Z,Mac.attlocal.net-27112,
acok-catelyn-07,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:28:05Z,Mac.attlocal.net-27104,
acok-jon-07,acok,8,done,2026-05-04 22:25:21,2026-05-04 22:28:09,168,6,36916,121097,6812,164831,0.4621945,,Mac.attlocal.net-27112,
acok-jon-08,acok,8,failed-stale,2026-05-05T03:28:09Z,,,,,,,,,2026-05-05T03:28:09Z,Mac.attlocal.net-27112,
acok-catelyn-07,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:28:35Z,Mac.attlocal.net-27104,
acok-jon-08,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:28:39Z,Mac.attlocal.net-27112,
